metric  	dataset      	model   	index	config                                                            	ms	ts	ds	mean	lb	ub	ss	rank
jaccsim 	ampiab       	Ridge   	   42	(1, 1, 'averages', 'tree', 'miss', 'lstsqsym', 'single')          	   18.0	   15.0	   -3.0	0.504000	0.481000	0.527000	 50	2.0
jaccsim 	ampiab-ml-11 	Ridge   	 1884	(2, 6, 'averages', 's-invariant', 'miss', 'lstsquni', 'single')   	   66.0	  661.0	  595.0	0.347000	0.332000	0.362000	 50	3.0
jaccsim 	ampiab-ml-22 	Ridge   	 1507	(2, 3, 'rho', 'r-invariant', 'cover', 'lstsqsym', 'multiple')     	  132.0	  682.0	  550.0	0.332000	0.326000	0.339000	 50	3.0
jaccsim 	elsio1       	Ridge   	  121	(1, 1, 'measures', 'r-invariant', 'miss', 'lstsq', 'multiple')    	   36.0	   30.0	   -6.0	0.557000	0.524000	0.590000	 50	3.0
jaccsim 	elsio1-ml-11 	Ridge   	 2976	(3, 5, 'measures', 's-invariant', 'cover', 'lstsq', 'single')     	   66.0	  826.0	  760.0	0.264000	0.258000	0.269000	 50	3.0
jaccsim 	elsio1-ml-22 	Ridge   	 2646	(3, 3, 'rho', 's-invariant', 'cover', 'ridge', 'single')          	  132.0	 1013.0	  881.0	0.318000	0.313000	0.323000	 50	3.0
jaccsim 	whoqol       	MLP     	    6	(1, 1, 'averages', 's-invariant', 'cover', 'ridge', 'single')     	   10.0	   10.0	    0.0	0.000000	0.000000	0.000000	 50	1.5
jaccsim 	whoqol-ml-11 	MLP     	 3349	(3, 8, 'averages', 'tree', 'cover', 'lstsquni', 'multiple')       	 1056.1	 1067.0	   10.9	0.097000	0.081000	0.112000	 50	2.0
jaccsim 	whoqol-ml-22 	MLP     	 1830	(2, 5, 'measures', 's-invariant', 'cover', 'ridge', 'single')     	  901.7	  903.0	    1.3	0.173000	0.157000	0.187000	 50	2.0
jaccsim 	ampiab       	MLP     	   42	(1, 1, 'averages', 'tree', 'miss', 'lstsqsym', 'single')          	   15.1	   15.0	   -0.1	0.675000	0.637000	0.712000	 50	3.0
jaccsim 	ampiab-ml-11 	MLP     	 1884	(2, 6, 'averages', 's-invariant', 'miss', 'lstsquni', 'single')   	  660.1	  661.0	    0.9	0.346000	0.333000	0.360000	 50	2.0
jaccsim 	ampiab-ml-22 	MLP     	 1507	(2, 3, 'rho', 'r-invariant', 'cover', 'lstsqsym', 'multiple')     	  660.4	  682.0	   21.6	0.248000	0.240000	0.256000	 50	1.0
jaccsim 	elsio1       	MLP     	  121	(1, 1, 'measures', 'r-invariant', 'miss', 'lstsq', 'multiple')    	   30.0	   30.0	    0.0	0.559000	0.515000	0.602000	 50	4.0
jaccsim 	elsio1-ml-11 	MLP     	 2976	(3, 5, 'measures', 's-invariant', 'cover', 'lstsq', 'single')     	  825.3	  826.0	    0.7	0.108000	0.096000	0.120000	 50	1.0
jaccsim 	elsio1-ml-22 	MLP     	 2646	(3, 3, 'rho', 's-invariant', 'cover', 'ridge', 'single')          	 1012.1	 1013.0	    0.9	0.235000	0.225000	0.245000	 50	1.0
jaccsim 	whoqol       	DT      	    6	(1, 1, 'averages', 's-invariant', 'cover', 'ridge', 'single')     	   10.1	   10.0	   -0.1	0.700000	0.589000	0.818000	 50	6.0
jaccsim 	whoqol-ml-11 	DT      	 3349	(3, 8, 'averages', 'tree', 'cover', 'lstsquni', 'multiple')       	   92.9	 1067.0	  974.1	0.673000	0.636000	0.709000	 50	9.0
jaccsim 	whoqol-ml-22 	DT      	 1830	(2, 5, 'measures', 's-invariant', 'cover', 'ridge', 'single')     	  216.2	  903.0	  686.8	0.949000	0.935000	0.964000	 50	9.0
jaccsim 	ampiab       	DT      	   42	(1, 1, 'averages', 'tree', 'miss', 'lstsqsym', 'single')          	   15.0	   15.0	   -0.0	0.943000	0.927000	0.961000	 50	6.5
jaccsim 	ampiab-ml-11 	DT      	 1884	(2, 6, 'averages', 's-invariant', 'miss', 'lstsquni', 'single')   	  177.0	  661.0	  484.0	0.844000	0.823000	0.866000	 50	9.0
jaccsim 	ampiab-ml-22 	DT      	 1507	(2, 3, 'rho', 'r-invariant', 'cover', 'lstsqsym', 'multiple')     	  660.1	  682.0	   21.9	0.961000	0.946000	0.978000	 50	9.0
jaccsim 	elsio1       	DT      	  121	(1, 1, 'measures', 'r-invariant', 'miss', 'lstsq', 'multiple')    	   30.2	   30.0	   -0.2	0.695000	0.652000	0.739000	 50	6.0
jaccsim 	elsio1-ml-11 	DT      	 2976	(3, 5, 'measures', 's-invariant', 'cover', 'lstsq', 'single')     	  339.4	  826.0	  486.6	0.920000	0.896000	0.945000	 50	9.0
jaccsim 	elsio1-ml-22 	DT      	 2646	(3, 3, 'rho', 's-invariant', 'cover', 'ridge', 'single')          	  985.8	 1013.0	   27.2	0.989000	0.983000	0.995000	 50	9.0
jaccsim 	whoqol       	RF      	    6	(1, 1, 'averages', 's-invariant', 'cover', 'ridge', 'single')     	   10.1	   10.0	   -0.1	0.636000	0.513000	0.758000	 50	5.0
jaccsim 	whoqol-ml-11 	RF      	 3349	(3, 8, 'averages', 'tree', 'cover', 'lstsquni', 'multiple')       	  712.8	 1067.0	  354.2	0.146000	0.122000	0.171000	 50	4.0
jaccsim 	whoqol-ml-22 	RF      	 1830	(2, 5, 'measures', 's-invariant', 'cover', 'ridge', 'single')     	  901.6	  903.0	    1.4	0.205000	0.192000	0.218000	 50	4.0
jaccsim 	ampiab       	RF      	   42	(1, 1, 'averages', 'tree', 'miss', 'lstsqsym', 'single')          	   15.1	   15.0	   -0.1	0.873000	0.841000	0.910000	 50	5.0
jaccsim 	ampiab-ml-11 	RF      	 1884	(2, 6, 'averages', 's-invariant', 'miss', 'lstsquni', 'single')   	  665.1	  661.0	   -4.1	0.460000	0.437000	0.482000	 50	7.0
jaccsim 	ampiab-ml-22 	RF      	 1507	(2, 3, 'rho', 'r-invariant', 'cover', 'lstsqsym', 'multiple')     	  667.4	  682.0	   14.6	0.536000	0.524000	0.549000	 50	6.0
jaccsim 	elsio1       	RF      	  121	(1, 1, 'measures', 'r-invariant', 'miss', 'lstsq', 'multiple')    	   30.6	   30.0	   -0.6	0.719000	0.674000	0.764000	 50	7.0
jaccsim 	elsio1-ml-11 	RF      	 2976	(3, 5, 'measures', 's-invariant', 'cover', 'lstsq', 'single')     	  830.7	  826.0	   -4.7	0.298000	0.281000	0.315000	 50	4.0
jaccsim 	elsio1-ml-22 	RF      	 2646	(3, 3, 'rho', 's-invariant', 'cover', 'ridge', 'single')          	 1012.0	 1013.0	    1.0	0.455000	0.435000	0.473000	 50	5.0
jaccsim 	whoqol       	BRDT    	    6	(1, 1, 'averages', 's-invariant', 'cover', 'ridge', 'single')     	   10.2	   10.0	   -0.2	0.886000	0.812000	0.977000	 50	8.0
jaccsim 	whoqol-ml-11 	BRDT    	 3349	(3, 8, 'averages', 'tree', 'cover', 'lstsquni', 'multiple')       	  191.1	 1067.0	  875.9	0.664000	0.633000	0.693000	 50	8.0
jaccsim 	whoqol-ml-22 	BRDT    	 1830	(2, 5, 'measures', 's-invariant', 'cover', 'ridge', 'single')     	  756.6	  903.0	  146.4	0.901000	0.884000	0.919000	 50	8.0
jaccsim 	ampiab       	BRDT    	   42	(1, 1, 'averages', 'tree', 'miss', 'lstsqsym', 'single')          	   15.2	   15.0	   -0.2	0.990000	0.982000	1.000000	 50	9.0
jaccsim 	ampiab-ml-11 	BRDT    	 1884	(2, 6, 'averages', 's-invariant', 'miss', 'lstsquni', 'single')   	  482.4	  661.0	  178.6	0.809000	0.781000	0.839000	 50	8.0
jaccsim 	ampiab-ml-22 	BRDT    	 1507	(2, 3, 'rho', 'r-invariant', 'cover', 'lstsqsym', 'multiple')     	  659.7	  682.0	   22.3	0.735000	0.722000	0.748000	 50	7.0
jaccsim 	elsio1       	BRDT    	  121	(1, 1, 'measures', 'r-invariant', 'miss', 'lstsq', 'multiple')    	   30.2	   30.0	   -0.2	0.923000	0.886000	0.965000	 50	9.0
jaccsim 	elsio1-ml-11 	BRDT    	 2976	(3, 5, 'measures', 's-invariant', 'cover', 'lstsq', 'single')     	  594.7	  826.0	  231.3	0.879000	0.852000	0.907000	 50	8.0
jaccsim 	elsio1-ml-22 	BRDT    	 2646	(3, 3, 'rho', 's-invariant', 'cover', 'ridge', 'single')          	 1007.3	 1013.0	    5.7	0.858000	0.829000	0.886000	 50	7.0
jaccsim 	whoqol       	BRRF    	    6	(1, 1, 'averages', 's-invariant', 'cover', 'ridge', 'single')     	   10.2	   10.0	   -0.2	0.945000	0.903000	0.999000	 50	9.0
jaccsim 	whoqol-ml-11 	BRRF    	 3349	(3, 8, 'averages', 'tree', 'cover', 'lstsquni', 'multiple')       	 1055.1	 1067.0	   11.9	0.172000	0.155000	0.189000	 50	5.0
jaccsim 	whoqol-ml-22 	BRRF    	 1830	(2, 5, 'measures', 's-invariant', 'cover', 'ridge', 'single')     	  900.1	  903.0	    2.9	0.393000	0.351000	0.430000	 50	6.0
jaccsim 	ampiab       	BRRF    	   42	(1, 1, 'averages', 'tree', 'miss', 'lstsqsym', 'single')          	   15.2	   15.0	   -0.2	0.989000	0.978000	1.000000	 50	8.0
jaccsim 	ampiab-ml-11 	BRRF    	 1884	(2, 6, 'averages', 's-invariant', 'miss', 'lstsquni', 'single')   	  658.8	  661.0	    2.2	0.420000	0.403000	0.437000	 50	6.0
jaccsim 	ampiab-ml-22 	BRRF    	 1507	(2, 3, 'rho', 'r-invariant', 'cover', 'lstsqsym', 'multiple')     	  660.0	  682.0	   22.0	0.531000	0.513000	0.548000	 50	5.0
jaccsim 	elsio1       	BRRF    	  121	(1, 1, 'measures', 'r-invariant', 'miss', 'lstsq', 'multiple')    	   30.1	   30.0	   -0.1	0.849000	0.809000	0.891000	 50	8.0
jaccsim 	elsio1-ml-11 	BRRF    	 2976	(3, 5, 'measures', 's-invariant', 'cover', 'lstsq', 'single')     	  832.2	  826.0	   -6.2	0.337000	0.318000	0.357000	 50	6.0
jaccsim 	elsio1-ml-22 	BRRF    	 2646	(3, 3, 'rho', 's-invariant', 'cover', 'ridge', 'single')          	 1008.2	 1013.0	    4.8	0.621000	0.569000	0.669000	 50	6.0
jaccsim 	whoqol       	Random  	    6	(1, 1, 'averages', 's-invariant', 'cover', 'ridge', 'single')     	    1.0	   10.0	    9.0	0.812000	0.789000	0.838000	 50	7.0
jaccsim 	whoqol-ml-11 	Random  	 3349	(3, 8, 'averages', 'tree', 'cover', 'lstsquni', 'multiple')       	    1.0	 1067.0	 1066.0	0.458000	0.435000	0.481000	 50	7.0
jaccsim 	whoqol-ml-22 	Random  	 1830	(2, 5, 'measures', 's-invariant', 'cover', 'ridge', 'single')     	    1.0	  903.0	  902.0	0.618000	0.603000	0.633000	 50	7.0
jaccsim 	ampiab       	Random  	   42	(1, 1, 'averages', 'tree', 'miss', 'lstsqsym', 'single')          	    1.0	   15.0	   14.0	0.943000	0.936000	0.950000	 50	6.5
jaccsim 	ampiab-ml-11 	Random  	 1884	(2, 6, 'averages', 's-invariant', 'miss', 'lstsquni', 'single')   	    1.0	  661.0	  660.0	0.416000	0.400000	0.432000	 50	5.0
jaccsim 	ampiab-ml-22 	Random  	 1507	(2, 3, 'rho', 'r-invariant', 'cover', 'lstsqsym', 'multiple')     	    1.0	  682.0	  681.0	0.908000	0.904000	0.913000	 50	8.0
jaccsim 	elsio1       	Random  	  121	(1, 1, 'measures', 'r-invariant', 'miss', 'lstsq', 'multiple')    	    1.0	   30.0	   29.0	0.680000	0.648000	0.711000	 50	5.0
jaccsim 	elsio1-ml-11 	Random  	 2976	(3, 5, 'measures', 's-invariant', 'cover', 'lstsq', 'single')     	    1.0	  826.0	  825.0	0.876000	0.869000	0.884000	 50	7.0
jaccsim 	elsio1-ml-22 	Random  	 2646	(3, 3, 'rho', 's-invariant', 'cover', 'ridge', 'single')          	    1.0	 1013.0	 1012.0	0.941000	0.939000	0.944000	 50	8.0
accuracy	whoqol       	Polygrid	  166	(1, 2, 'averages', 'r-invariant', 'cover', 'ridge', 'single')     	   18.0	   18.0	    0.0	1.000000	1.000000	1.000000	 50	1.0
accuracy	whoqol-ml-11 	Polygrid	 3168	(3, 7, 'averages', 's-invariant', 'cover', 'lstsq', 'single')     	  925.0	  925.0	    0.0	0.640000	0.610000	0.671000	 50	2.0
accuracy	whoqol-ml-22 	Polygrid	 3304	(3, 7, 'measures', 'tree', 'miss', 'lstsq', 'single')             	 1849.0	 1849.0	    0.0	0.218000	0.193000	0.242000	 50	3.0
accuracy	ampiab       	Polygrid	 1952	(2, 6, 'rho', 'tree', 'cover', 'lstsq', 'single')                 	  180.0	  180.0	    0.0	0.730000	0.718000	0.742000	 50	1.0
accuracy	ampiab-ml-11 	Polygrid	 2806	(3, 4, 'rho', 'r-invariant', 'cover', 'ridge', 'single')          	  672.0	  672.0	    0.0	0.638000	0.635000	0.641000	 50	1.0
accuracy	ampiab-ml-22 	Polygrid	 3193	(3, 7, 'averages', 'r-invariant', 'miss', 'lstsq', 'multiple')    	 2332.0	 2332.0	    0.0	0.321000	0.308000	0.333000	 50	4.0
accuracy	elsio1       	Polygrid	 2995	(3, 5, 'measures', 'r-invariant', 'cover', 'lstsqsym', 'multiple')	  450.0	  450.0	    0.0	0.798000	0.792000	0.803000	 50	1.0
accuracy	elsio1-ml-11 	Polygrid	 3429	(3, 8, 'measures', 'r-invariant', 'cover', 'lstsquni', 'multiple')	 1331.0	 1331.0	    0.0	0.719000	0.705000	0.733000	 50	4.0
accuracy	elsio1-ml-22 	Polygrid	 2275	(2, 8, 'measures', 'r-invariant', 'cover', 'lstsqsym', 'multiple')	 1782.0	 1782.0	    0.0	0.297000	0.285000	0.308000	 50	4.0
accuracy	whoqol       	Linear  	  166	(1, 2, 'averages', 'r-invariant', 'cover', 'ridge', 'single')     	    8.0	   18.0	   10.0	0.645000	0.622000	0.669000	 50	8.0
accuracy	whoqol-ml-11 	Linear  	 3168	(3, 7, 'averages', 's-invariant', 'cover', 'lstsq', 'single')     	   44.0	  925.0	  881.0	0.074000	0.056000	0.090000	 50	8.0
accuracy	whoqol-ml-22 	Linear  	 3304	(3, 7, 'measures', 'tree', 'miss', 'lstsq', 'single')             	   88.0	 1849.0	 1761.0	0.035000	0.025000	0.045000	 50	8.0
accuracy	ampiab       	Linear  	 1952	(2, 6, 'rho', 'tree', 'cover', 'lstsq', 'single')                 	   15.0	  180.0	  165.0	0.496000	0.485000	0.508000	 50	8.0
accuracy	ampiab-ml-11 	Linear  	 2806	(3, 4, 'rho', 'r-invariant', 'cover', 'ridge', 'single')          	   55.0	  672.0	  617.0	0.441000	0.417000	0.466000	 50	6.0
accuracy	ampiab-ml-22 	Linear  	 3193	(3, 7, 'averages', 'r-invariant', 'miss', 'lstsq', 'multiple')    	  110.0	 2332.0	 2222.0	0.058000	0.053000	0.064000	 50	8.0
accuracy	elsio1       	Linear  	 2995	(3, 5, 'measures', 'r-invariant', 'cover', 'lstsqsym', 'multiple')	   30.0	  450.0	  420.0	0.789000	0.784000	0.793000	 50	3.0
accuracy	elsio1-ml-11 	Linear  	 3429	(3, 8, 'measures', 'r-invariant', 'cover', 'lstsquni', 'multiple')	   55.0	 1331.0	 1276.0	0.154000	0.147000	0.161000	 50	8.0
accuracy	elsio1-ml-22 	Linear  	 2275	(2, 8, 'measures', 'r-invariant', 'cover', 'lstsqsym', 'multiple')	  110.0	 1782.0	 1672.0	0.060000	0.056000	0.065000	 50	8.0
accuracy	whoqol       	Ridge   	  166	(1, 2, 'averages', 'r-invariant', 'cover', 'ridge', 'single')     	   10.0	   18.0	    8.0	0.959000	0.947000	0.972000	 50	3.0
accuracy	whoqol-ml-11 	Ridge   	 3168	(3, 7, 'averages', 's-invariant', 'cover', 'lstsq', 'single')     	   55.0	  925.0	  870.0	0.299000	0.278000	0.320000	 50	7.0
accuracy	whoqol-ml-22 	Ridge   	 3304	(3, 7, 'measures', 'tree', 'miss', 'lstsq', 'single')             	  110.0	 1849.0	 1739.0	0.107000	0.090000	0.124000	 50	6.0
accuracy	ampiab       	Ridge   	 1952	(2, 6, 'rho', 'tree', 'cover', 'lstsq', 'single')                 	   18.0	  180.0	  162.0	0.675000	0.665000	0.684000	 50	4.0
accuracy	ampiab-ml-11 	Ridge   	 2806	(3, 4, 'rho', 'r-invariant', 'cover', 'ridge', 'single')          	   66.0	  672.0	  606.0	0.602000	0.587000	0.617000	 50	2.0
accuracy	ampiab-ml-22 	Ridge   	 3193	(3, 7, 'averages', 'r-invariant', 'miss', 'lstsq', 'multiple')    	  132.0	 2332.0	 2200.0	0.152000	0.144000	0.161000	 50	6.0
accuracy	elsio1       	Ridge   	 2995	(3, 5, 'measures', 'r-invariant', 'cover', 'lstsqsym', 'multiple')	   36.0	  450.0	  414.0	0.790000	0.785000	0.795000	 50	2.0
accuracy	elsio1-ml-11 	Ridge   	 3429	(3, 8, 'measures', 'r-invariant', 'cover', 'lstsquni', 'multiple')	   66.0	 1331.0	 1265.0	0.284000	0.276000	0.291000	 50	7.0
accuracy	elsio1-ml-22 	Ridge   	 2275	(2, 8, 'measures', 'r-invariant', 'cover', 'lstsqsym', 'multiple')	  132.0	 1782.0	 1650.0	0.069000	0.064000	0.074000	 50	7.0
accuracy	whoqol       	MLP     	  166	(1, 2, 'averages', 'r-invariant', 'cover', 'ridge', 'single')     	   18.0	   18.0	    0.0	0.982000	0.975000	0.989000	 50	2.0
accuracy	whoqol-ml-11 	MLP     	 3168	(3, 7, 'averages', 's-invariant', 'cover', 'lstsq', 'single')     	  924.3	  925.0	    0.7	0.559000	0.524000	0.595000	 50	4.0
accuracy	whoqol-ml-22 	MLP     	 3304	(3, 7, 'measures', 'tree', 'miss', 'lstsq', 'single')             	 1847.7	 1849.0	    1.3	0.222000	0.196000	0.246000	 50	2.0
accuracy	ampiab       	MLP     	 1952	(2, 6, 'rho', 'tree', 'cover', 'lstsq', 'single')                 	  180.1	  180.0	   -0.1	0.670000	0.659000	0.681000	 50	5.0
accuracy	ampiab-ml-11 	MLP     	 2806	(3, 4, 'rho', 'r-invariant', 'cover', 'ridge', 'single')          	  671.3	  672.0	    0.7	0.504000	0.459000	0.551000	 50	3.0
accuracy	ampiab-ml-22 	MLP     	 3193	(3, 7, 'averages', 'r-invariant', 'miss', 'lstsq', 'multiple')    	 2309.6	 2332.0	   22.4	0.649000	0.638000	0.659000	 50	3.0
accuracy	elsio1       	MLP     	 2995	(3, 5, 'measures', 'r-invariant', 'cover', 'lstsqsym', 'multiple')	  450.0	  450.0	    0.0	0.755000	0.748000	0.762000	 50	6.0
accuracy	elsio1-ml-11 	MLP     	 3429	(3, 8, 'measures', 'r-invariant', 'cover', 'lstsquni', 'multiple')	 1320.0	 1331.0	   11.0	0.861000	0.853000	0.869000	 50	2.0
accuracy	elsio1-ml-22 	MLP     	 2275	(2, 8, 'measures', 'r-invariant', 'cover', 'lstsqsym', 'multiple')	 1760.2	 1782.0	   21.8	0.450000	0.440000	0.459000	 50	2.0
accuracy	whoqol       	DT      	  166	(1, 2, 'averages', 'r-invariant', 'cover', 'ridge', 'single')     	   18.0	   18.0	   -0.0	0.874000	0.852000	0.898000	 50	4.0
accuracy	whoqol-ml-11 	DT      	 3168	(3, 7, 'averages', 's-invariant', 'cover', 'lstsq', 'single')     	   93.8	  925.0	  831.2	0.625000	0.601000	0.648000	 50	3.0
accuracy	whoqol-ml-22 	DT      	 3304	(3, 7, 'measures', 'tree', 'miss', 'lstsq', 'single')             	  216.4	 1849.0	 1632.6	0.234000	0.215000	0.253000	 50	1.0
accuracy	ampiab       	DT      	 1952	(2, 6, 'rho', 'tree', 'cover', 'lstsq', 'single')                 	  183.0	  180.0	   -3.0	0.665000	0.649000	0.680000	 50	6.0
accuracy	ampiab-ml-11 	DT      	 2806	(3, 4, 'rho', 'r-invariant', 'cover', 'ridge', 'single')          	  176.7	  672.0	  495.3	0.348000	0.323000	0.373000	 50	7.0
accuracy	ampiab-ml-22 	DT      	 3193	(3, 7, 'averages', 'r-invariant', 'miss', 'lstsq', 'multiple')    	  676.8	 2332.0	 1655.2	0.670000	0.662000	0.678000	 50	1.0
accuracy	elsio1       	DT      	 2995	(3, 5, 'measures', 'r-invariant', 'cover', 'lstsqsym', 'multiple')	  450.0	  450.0	    0.0	0.695000	0.683000	0.706000	 50	8.0
accuracy	elsio1-ml-11 	DT      	 3429	(3, 8, 'measures', 'r-invariant', 'cover', 'lstsquni', 'multiple')	  341.0	 1331.0	  990.0	0.868000	0.861000	0.875000	 50	1.0
accuracy	elsio1-ml-22 	DT      	 2275	(2, 8, 'measures', 'r-invariant', 'cover', 'lstsqsym', 'multiple')	  989.8	 1782.0	  792.2	0.547000	0.539000	0.557000	 50	1.0
accuracy	whoqol       	RF      	  166	(1, 2, 'averages', 'r-invariant', 'cover', 'ridge', 'single')     	   18.1	   18.0	   -0.1	0.849000	0.825000	0.874000	 50	6.0
accuracy	whoqol-ml-11 	RF      	 3168	(3, 7, 'averages', 's-invariant', 'cover', 'lstsq', 'single')     	  701.5	  925.0	  223.5	0.644000	0.618000	0.672000	 50	1.0
accuracy	whoqol-ml-22 	RF      	 3304	(3, 7, 'measures', 'tree', 'miss', 'lstsq', 'single')             	 1847.4	 1849.0	    1.6	0.195000	0.175000	0.215000	 50	4.0
accuracy	ampiab       	RF      	 1952	(2, 6, 'rho', 'tree', 'cover', 'lstsq', 'single')                 	  180.4	  180.0	   -0.4	0.697000	0.681000	0.714000	 50	3.0
accuracy	ampiab-ml-11 	RF      	 2806	(3, 4, 'rho', 'r-invariant', 'cover', 'ridge', 'single')          	  674.6	  672.0	   -2.6	0.466000	0.440000	0.494000	 50	5.0
accuracy	ampiab-ml-22 	RF      	 3193	(3, 7, 'averages', 'r-invariant', 'miss', 'lstsq', 'multiple')    	 2319.3	 2332.0	   12.7	0.299000	0.263000	0.337000	 50	5.0
accuracy	elsio1       	RF      	 2995	(3, 5, 'measures', 'r-invariant', 'cover', 'lstsqsym', 'multiple')	  449.3	  450.0	    0.7	0.786000	0.781000	0.791000	 50	5.0
accuracy	elsio1-ml-11 	RF      	 3429	(3, 8, 'measures', 'r-invariant', 'cover', 'lstsquni', 'multiple')	 1321.0	 1331.0	   10.0	0.704000	0.646000	0.774000	 50	5.0
accuracy	elsio1-ml-22 	RF      	 2275	(2, 8, 'measures', 'r-invariant', 'cover', 'lstsqsym', 'multiple')	 1766.3	 1782.0	   15.7	0.254000	0.241000	0.267000	 50	5.0
accuracy	whoqol       	BRDT    	  166	(1, 2, 'averages', 'r-invariant', 'cover', 'ridge', 'single')     	   18.2	   18.0	   -0.2	0.856000	0.833000	0.881000	 50	5.0
accuracy	whoqol-ml-11 	BRDT    	 3168	(3, 7, 'averages', 's-invariant', 'cover', 'lstsq', 'single')     	  195.1	  925.0	  729.9	0.533000	0.508000	0.559000	 50	5.0
accuracy	whoqol-ml-22 	BRDT    	 3304	(3, 7, 'measures', 'tree', 'miss', 'lstsq', 'single')             	  746.3	 1849.0	 1102.7	0.111000	0.094000	0.127000	 50	5.0
accuracy	ampiab       	BRDT    	 1952	(2, 6, 'rho', 'tree', 'cover', 'lstsq', 'single')                 	  180.6	  180.0	   -0.6	0.699000	0.684000	0.715000	 50	2.0
accuracy	ampiab-ml-11 	BRDT    	 2806	(3, 4, 'rho', 'r-invariant', 'cover', 'ridge', 'single')          	  484.4	  672.0	  187.6	0.278000	0.258000	0.298000	 50	8.0
