metric  	dataset      	model   	index	mean	lb	ub	rank
hammingl	penguins (mc)	Linear  	    6	0.008000	0.006000	0.011000	2.0
hammingl	wine (mc)    	Linear  	  948	0.020000	0.016000	0.024000	3.0
hammingl	cancer (mc)  	Linear  	  753	0.072000	0.065000	0.078000	4.0
hammingl	iris (mc)    	Ridge   	  225	0.108000	0.096000	0.120000	7.0
hammingl	penguins (mc)	Ridge   	    6	0.014000	0.011000	0.017000	3.0
hammingl	wine (mc)    	Ridge   	  948	0.008000	0.003000	0.012000	2.0
hammingl	cancer (mc)  	Ridge   	  753	0.063000	0.057000	0.069000	3.0
hammingl	iris (mc)    	MLP     	  225	0.016000	0.011000	0.020000	2.0
hammingl	penguins (mc)	MLP     	    6	0.118000	0.106000	0.132000	7.0
hammingl	wine (mc)    	MLP     	  948	0.021000	0.016000	0.025000	4.0
hammingl	cancer (mc)  	MLP     	  753	0.053000	0.047000	0.059000	2.0
hammingl	iris (mc)    	DT      	  225	0.036000	0.029000	0.043000	4.0
hammingl	penguins (mc)	DT      	    6	0.054000	0.041000	0.065000	5.0
hammingl	wine (mc)    	DT      	  948	0.063000	0.054000	0.072000	7.0
hammingl	cancer (mc)  	DT      	  753	0.083000	0.077000	0.089000	5.0
hammingl	iris (mc)    	RF      	  225	0.036000	0.030000	0.043000	4.0
hammingl	penguins (mc)	RF      	    6	0.151000	0.145000	0.157000	8.0
hammingl	wine (mc)    	RF      	  948	0.045000	0.037000	0.052000	6.0
hammingl	cancer (mc)  	RF      	  753	0.100000	0.093000	0.106000	8.0
hammingl	iris (mc)    	BRDT    	  225	0.036000	0.029000	0.042000	4.0
hammingl	penguins (mc)	BRDT    	    6	0.046000	0.040000	0.051000	4.0
hammingl	wine (mc)    	BRDT    	  948	0.078000	0.071000	0.086000	8.0
hammingl	cancer (mc)  	BRDT    	  753	0.088000	0.081000	0.094000	7.0
hammingl	iris (mc)    	BRRF    	  225	0.042000	0.033000	0.050000	6.0
hammingl	penguins (mc)	BRRF    	    6	0.107000	0.090000	0.123000	6.0
hammingl	wine (mc)    	BRRF    	  948	0.027000	0.019000	0.034000	5.0
hammingl	cancer (mc)  	BRRF    	  753	0.087000	0.079000	0.095000	6.0
hammingl	iris (mc)    	Random  	  225	0.462000	0.445000	0.478000	9.0
hammingl	penguins (mc)	Random  	    6	0.449000	0.439000	0.458000	9.0
hammingl	wine (mc)    	Random  	  948	0.440000	0.426000	0.454000	9.0
hammingl	cancer (mc)  	Random  	  753	0.499000	0.486000	0.512000	9.0
f1.micro	iris (mc)    	Polygrid	  225	0.983000	0.977000	0.991000	1.0
f1.micro	penguins (mc)	Polygrid	    6	0.992000	0.988000	0.995000	1.0
f1.micro	wine (mc)    	Polygrid	  948	0.991000	0.987000	0.995000	1.0
f1.micro	cancer (mc)  	Polygrid	  753	0.948000	0.942000	0.953000	1.0
f1.micro	iris (mc)    	Linear  	  225	0.808000	0.794000	0.822000	8.0
f1.micro	penguins (mc)	Linear  	    6	0.987000	0.984000	0.990000	2.0
f1.micro	wine (mc)    	Linear  	  948	0.970000	0.965000	0.976000	3.0
f1.micro	cancer (mc)  	Linear  	  753	0.928000	0.922000	0.935000	4.0
f1.micro	iris (mc)    	Ridge   	  225	0.837000	0.819000	0.855000	7.0
f1.micro	penguins (mc)	Ridge   	    6	0.979000	0.975000	0.983000	3.0
f1.micro	wine (mc)    	Ridge   	  948	0.988000	0.982000	0.995000	2.0
f1.micro	cancer (mc)  	Ridge   	  753	0.937000	0.931000	0.943000	3.0
f1.micro	iris (mc)    	MLP     	  225	0.977000	0.970000	0.983000	2.0
f1.micro	penguins (mc)	MLP     	    6	0.823000	0.803000	0.841000	7.0
f1.micro	wine (mc)    	MLP     	  948	0.969000	0.963000	0.975000	4.0
f1.micro	cancer (mc)  	MLP     	  753	0.947000	0.941000	0.953000	2.0
f1.micro	iris (mc)    	DT      	  225	0.946000	0.936000	0.956000	4.0
f1.micro	penguins (mc)	DT      	    6	0.920000	0.903000	0.939000	5.0
f1.micro	wine (mc)    	DT      	  948	0.905000	0.892000	0.919000	7.0
f1.micro	cancer (mc)  	DT      	  753	0.917000	0.911000	0.923000	5.0
f1.micro	iris (mc)    	RF      	  225	0.945000	0.936000	0.956000	5.0
f1.micro	penguins (mc)	RF      	    6	0.774000	0.765000	0.783000	8.0
f1.micro	wine (mc)    	RF      	  948	0.934000	0.923000	0.945000	6.0
f1.micro	cancer (mc)  	RF      	  753	0.906000	0.901000	0.912000	8.0
f1.micro	iris (mc)    	BRDT    	  225	0.947000	0.938000	0.957000	3.0
f1.micro	penguins (mc)	BRDT    	    6	0.932000	0.924000	0.940000	4.0
f1.micro	wine (mc)    	BRDT    	  948	0.894000	0.884000	0.903000	8.0
f1.micro	cancer (mc)  	BRDT    	  753	0.912000	0.905000	0.919000	7.0
f1.micro	iris (mc)    	BRRF    	  225	0.937000	0.925000	0.951000	6.0
f1.micro	penguins (mc)	BRRF    	    6	0.840000	0.816000	0.865000	6.0
f1.micro	wine (mc)    	BRRF    	  948	0.960000	0.950000	0.971000	5.0
f1.micro	cancer (mc)  	BRRF    	  753	0.913000	0.905000	0.921000	6.0
f1.micro	iris (mc)    	Random  	  225	0.307000	0.283000	0.332000	9.0
f1.micro	penguins (mc)	Random  	    6	0.327000	0.313000	0.341000	9.0
f1.micro	wine (mc)    	Random  	  948	0.340000	0.319000	0.361000	9.0
f1.micro	cancer (mc)  	Random  	  753	0.501000	0.488000	0.514000	9.0
f1.macro	iris (mc)    	Polygrid	  225	0.983000	0.977000	0.991000	1.0
f1.macro	penguins (mc)	Polygrid	    6	0.989000	0.986000	0.993000	1.0
f1.macro	wine (mc)    	Polygrid	  948	0.991000	0.987000	0.996000	1.0
f1.macro	cancer (mc)  	Polygrid	 1174	0.944000	0.938000	0.949000	1.0
f1.macro	iris (mc)    	Linear  	  225	0.804000	0.789000	0.819000	8.0
f1.macro	penguins (mc)	Linear  	    6	0.984000	0.980000	0.988000	2.0
f1.macro	wine (mc)    	Linear  	  948	0.971000	0.966000	0.977000	3.0
f1.macro	cancer (mc)  	Linear  	 1174	0.924000	0.917000	0.931000	4.0
f1.macro	iris (mc)    	Ridge   	  225	0.834000	0.815000	0.852000	7.0
f1.macro	penguins (mc)	Ridge   	    6	0.974000	0.968000	0.979000	3.0
f1.macro	wine (mc)    	Ridge   	  948	0.988000	0.982000	0.995000	2.0
f1.macro	cancer (mc)  	Ridge   	 1174	0.935000	0.929000	0.941000	3.0
f1.macro	iris (mc)    	MLP     	  225	0.977000	0.970000	0.983000	2.0
f1.macro	penguins (mc)	MLP     	    6	0.648000	0.609000	0.681000	7.0
f1.macro	wine (mc)    	MLP     	  948	0.970000	0.964000	0.976000	4.0
f1.macro	cancer (mc)  	MLP     	 1174	0.936000	0.929000	0.944000	2.0
f1.macro	iris (mc)    	DT      	  225	0.945000	0.935000	0.956000	4.5
f1.macro	penguins (mc)	DT      	    6	0.886000	0.854000	0.924000	5.0
f1.macro	wine (mc)    	DT      	  948	0.906000	0.893000	0.920000	7.0
f1.macro	cancer (mc)  	DT      	 1174	0.907000	0.900000	0.915000	7.0
f1.macro	iris (mc)    	RF      	  225	0.945000	0.935000	0.956000	4.5
f1.macro	penguins (mc)	RF      	    6	0.583000	0.577000	0.589000	8.0
f1.macro	wine (mc)    	RF      	  948	0.935000	0.924000	0.946000	6.0
f1.macro	cancer (mc)  	RF      	 1174	0.899000	0.893000	0.905000	8.0
f1.macro	iris (mc)    	BRDT    	  225	0.947000	0.938000	0.957000	3.0
f1.macro	penguins (mc)	BRDT    	    6	0.918000	0.907000	0.929000	4.0
f1.macro	wine (mc)    	BRDT    	  948	0.895000	0.885000	0.904000	8.0
f1.macro	cancer (mc)  	BRDT    	 1174	0.914000	0.908000	0.921000	6.0
f1.macro	iris (mc)    	BRRF    	  225	0.936000	0.923000	0.950000	6.0
f1.macro	penguins (mc)	BRRF    	    6	0.760000	0.717000	0.803000	6.0
f1.macro	wine (mc)    	BRRF    	  948	0.960000	0.950000	0.971000	5.0
f1.macro	cancer (mc)  	BRRF    	 1174	0.920000	0.912000	0.927000	5.0
f1.macro	iris (mc)    	Random  	  225	0.302000	0.277000	0.327000	9.0
f1.macro	penguins (mc)	Random  	    6	0.317000	0.304000	0.331000	9.0
f1.macro	wine (mc)    	Random  	  948	0.334000	0.313000	0.355000	9.0
f1.macro	cancer (mc)  	Random  	 1174	0.495000	0.483000	0.507000	9.0
f1.weigh	iris (mc)    	Polygrid	  225	0.983000	0.977000	0.991000	1.0
f1.weigh	penguins (mc)	Polygrid	    6	0.991000	0.988000	0.995000	1.0
f1.weigh	wine (mc)    	Polygrid	  948	0.991000	0.987000	0.995000	1.0
f1.weigh	cancer (mc)  	Polygrid	 1174	0.948000	0.943000	0.953000	1.0
f1.weigh	iris (mc)    	Linear  	  225	0.804000	0.789000	0.819000	8.0
f1.weigh	penguins (mc)	Linear  	    6	0.987000	0.984000	0.990000	2.0
f1.weigh	wine (mc)    	Linear  	  948	0.970000	0.965000	0.976000	3.0
f1.weigh	cancer (mc)  	Linear  	 1174	0.930000	0.924000	0.937000	4.0
f1.weigh	iris (mc)    	Ridge   	  225	0.834000	0.816000	0.853000	7.0
f1.weigh	penguins (mc)	Ridge   	    6	0.979000	0.974000	0.983000	3.0
f1.weigh	wine (mc)    	Ridge   	  948	0.988000	0.982000	0.995000	2.0
f1.weigh	cancer (mc)  	Ridge   	 1174	0.941000	0.935000	0.946000	2.5
f1.weigh	iris (mc)    	MLP     	  225	0.977000	0.970000	0.983000	2.0
f1.weigh	penguins (mc)	MLP     	    6	0.747000	0.717000	0.772000	7.0
f1.weigh	wine (mc)    	MLP     	  948	0.969000	0.963000	0.975000	4.0
f1.weigh	cancer (mc)  	MLP     	 1174	0.941000	0.934000	0.948000	2.5
f1.weigh	iris (mc)    	DT      	  225	0.945000	0.935000	0.956000	4.5
f1.weigh	penguins (mc)	DT      	    6	0.908000	0.884000	0.935000	5.0
f1.weigh	wine (mc)    	DT      	  948	0.904000	0.891000	0.918000	7.0
f1.weigh	cancer (mc)  	DT      	 1174	0.913000	0.907000	0.920000	7.0
f1.weigh	iris (mc)    	RF      	  225	0.945000	0.935000	0.955000	4.5
f1.weigh	penguins (mc)	RF      	    6	0.691000	0.682000	0.700000	8.0
f1.weigh	wine (mc)    	RF      	  948	0.934000	0.923000	0.945000	6.0
f1.weigh	cancer (mc)  	RF      	 1174	0.907000	0.902000	0.912000	8.0
f1.weigh	iris (mc)    	BRDT    	  225	0.947000	0.938000	0.957000	3.0
f1.weigh	penguins (mc)	BRDT    	    6	0.930000	0.921000	0.939000	4.0
f1.weigh	wine (mc)    	BRDT    	  948	0.895000	0.886000	0.905000	8.0
f1.weigh	cancer (mc)  	BRDT    	 1174	0.920000	0.914000	0.926000	6.0
f1.weigh	iris (mc)    	BRRF    	  225	0.936000	0.923000	0.950000	6.0
f1.weigh	penguins (mc)	BRRF    	    6	0.809000	0.776000	0.842000	6.0
f1.weigh	wine (mc)    	BRRF    	  948	0.960000	0.949000	0.971000	5.0
f1.weigh	cancer (mc)  	BRRF    	 1174	0.925000	0.919000	0.932000	5.0
f1.weigh	iris (mc)    	Random  	  225	0.302000	0.277000	0.326000	9.0
f1.weigh	penguins (mc)	Random  	    6	0.333000	0.319000	0.347000	9.0
f1.weigh	wine (mc)    	Random  	  948	0.337000	0.317000	0.358000	9.0
f1.weigh	cancer (mc)  	Random  	 1174	0.512000	0.499000	0.524000	9.0
jaccsim 	iris (mc)    	Polygrid	  502	0.004000	0.000000	0.008000	1.0
jaccsim 	penguins (mc)	Polygrid	  517	0.010000	0.007000	0.013000	1.5
jaccsim 	wine (mc)    	Polygrid	  943	0.001000	0.000000	0.003000	1.0
jaccsim 	cancer (mc)  	Polygrid	  902	0.123000	0.106000	0.139000	1.0
jaccsim 	iris (mc)    	Linear  	  502	0.216000	0.199000	0.232000	8.0
jaccsim 	penguins (mc)	Linear  	  517	0.010000	0.007000	0.013000	1.5
jaccsim 	wine (mc)    	Linear  	  943	0.029000	0.022000	0.036000	4.0
jaccsim 	cancer (mc)  	Linear  	  902	0.189000	0.172000	0.206000	3.0
jaccsim 	iris (mc)    	Ridge   	  502	0.175000	0.157000	0.193000	5.0
jaccsim 	penguins (mc)	Ridge   	  517	0.022000	0.015000	0.028000	3.0
jaccsim 	wine (mc)    	Ridge   	  943	0.006000	0.002000	0.009000	2.0
jaccsim 	cancer (mc)  	Ridge   	  902	0.145000	0.130000	0.159000	2.0
jaccsim 	iris (mc)    	MLP     	  502	0.068000	0.041000	0.094000	2.0
jaccsim 	penguins (mc)	MLP     	  517	0.025000	0.009000	0.038000	4.0
jaccsim 	wine (mc)    	MLP     	  943	0.017000	0.008000	0.025000	3.0
jaccsim 	cancer (mc)  	MLP     	  902	0.644000	0.585000	0.703000	4.0
jaccsim 	iris (mc)    	DT      	  502	0.173000	0.093000	0.253000	4.0
jaccsim 	penguins (mc)	DT      	  517	0.324000	0.229000	0.418000	8.0
jaccsim 	wine (mc)    	DT      	  943	0.513000	0.433000	0.600000	8.0
jaccsim 	cancer (mc)  	DT      	  902	0.996000	0.991000	1.000000	9.0
jaccsim 	iris (mc)    	RF      	  502	0.121000	0.072000	0.165000	3.0
jaccsim 	penguins (mc)	RF      	  517	0.311000	0.256000	0.366000	6.0
jaccsim 	wine (mc)    	RF      	  943	0.169000	0.116000	0.218000	6.0
jaccsim 	cancer (mc)  	RF      	  902	0.860000	0.806000	0.924000	6.0
jaccsim 	iris (mc)    	BRDT    	  502	0.187000	0.107000	0.260000	6.0
jaccsim 	penguins (mc)	BRDT    	  517	0.307000	0.237000	0.377000	5.0
jaccsim 	wine (mc)    	BRDT    	  943	0.393000	0.313000	0.473000	7.0
jaccsim 	cancer (mc)  	BRDT    	  902	0.966000	0.945000	0.993000	8.0
jaccsim 	iris (mc)    	BRRF    	  502	0.189000	0.129000	0.244000	7.0
jaccsim 	penguins (mc)	BRRF    	  517	0.322000	0.280000	0.362000	7.0
jaccsim 	wine (mc)    	BRRF    	  943	0.096000	0.069000	0.121000	5.0
jaccsim 	cancer (mc)  	BRRF    	  902	0.732000	0.683000	0.781000	5.0
jaccsim 	iris (mc)    	Random  	  502	0.849000	0.832000	0.867000	9.0
jaccsim 	penguins (mc)	Random  	  517	0.910000	0.900000	0.921000	9.0
jaccsim 	wine (mc)    	Random  	  943	0.852000	0.835000	0.872000	9.0
jaccsim 	cancer (mc)  	Random  	  902	0.961000	0.956000	0.967000	7.0
