Replica	Script	Step	Status	Participant	Age	Sex	Education	Knowledge Area	Contact Me	Withdraw	Task Type	Section	Function	Sample Type	Oracle	Predicted	Response	Start	Finish	User Agent	Comments
os2	1	13	COMPLETED		41	Feminino	Ensino superior completo	Ciências Sociais Aplicadas	False	False	TT04	Section 0 - Polygrid  diagram	go	/os2/3/go/polygrid/first/repeat/38	1	1	1	1713283220754	1713283242308	Mozilla/5.0 (iPhone; CPU iPhone OS 16_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.2 Mobile/15E148 Safari/604.1	
os2	1	14	COMPLETED		41	Feminino	Ensino superior completo	Ciências Sociais Aplicadas	False	False	TT03	Section 1 - Bar Charts diagram	instruction	/os2/4/instruction/barsgrid/last/common	0	0	0	1713283246349	1713283348567	Mozilla/5.0 (iPhone; CPU iPhone OS 16_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.2 Mobile/15E148 Safari/604.1	
os2	1	15	COMPLETED		41	Feminino	Ensino superior completo	Ciências Sociais Aplicadas	False	False	TT04	Section 1 - Bar Charts diagram	warmup	/os2/5/warmup/barsgrid/last/common/49	1	1	1	1713283352286	1713283433012	Mozilla/5.0 (iPhone; CPU iPhone OS 16_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.2 Mobile/15E148 Safari/604.1	
os2	1	16	COMPLETED		41	Feminino	Ensino superior completo	Ciências Sociais Aplicadas	False	False	TT04	Section 1 - Bar Charts diagram	warmup	/os2/5/warmup/barsgrid/last/common/82	2	2	2	1713283434273	1713283469353	Mozilla/5.0 (iPhone; CPU iPhone OS 16_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.2 Mobile/15E148 Safari/604.1	
os2	1	17	COMPLETED		41	Feminino	Ensino superior completo	Ciências Sociais Aplicadas	False	False	TT04	Section 1 - Bar Charts diagram	warmup	/os2/5/warmup/barsgrid/last/common/104	3	3	3	1713283473487	1713283485884	Mozilla/5.0 (iPhone; CPU iPhone OS 16_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.2 Mobile/15E148 Safari/604.1	
os2	1	18	COMPLETED		41	Feminino	Ensino superior completo	Ciências Sociais Aplicadas	False	False	TT03	Section 1 - Bar Charts diagram	set-ready	/os2/6/set-ready/barsgrid/last/common	0	0	0	1713283486178	1713283491904	Mozilla/5.0 (iPhone; CPU iPhone OS 16_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.2 Mobile/15E148 Safari/604.1	
os2	1	19	COMPLETED		41	Feminino	Ensino superior completo	Ciências Sociais Aplicadas	False	False	TT04	Section 1 - Bar Charts diagram	go	/os2/7/go/barsgrid/last/left/103	3	3	3	1713283521474	1713283531385	Mozilla/5.0 (iPhone; CPU iPhone OS 16_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.2 Mobile/15E148 Safari/604.1	
os2	1	20	COMPLETED		41	Feminino	Ensino superior completo	Ciências Sociais Aplicadas	False	False	TT04	Section 1 - Bar Charts diagram	go	/os2/7/go/barsgrid/last/left/75	2	2	3	1713283533997	1713283547187	Mozilla/5.0 (iPhone; CPU iPhone OS 16_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.2 Mobile/15E148 Safari/604.1	
os2	1	21	COMPLETED		41	Feminino	Ensino superior completo	Ciências Sociais Aplicadas	False	False	TT04	Section 1 - Bar Charts diagram	go	/os2/7/go/barsgrid/last/common/115	3	3	3	1713283559324	1713283577939	Mozilla/5.0 (iPhone; CPU iPhone OS 16_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.2 Mobile/15E148 Safari/604.1	
os2	1	22	COMPLETED		41	Feminino	Ensino superior completo	Ciências Sociais Aplicadas	False	False	TT04	Section 1 - Bar Charts diagram	go	/os2/7/go/barsgrid/last/common/38	1	1	1	1713283579780	1713283589563	Mozilla/5.0 (iPhone; CPU iPhone OS 16_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.2 Mobile/15E148 Safari/604.1	
os2	1	23	COMPLETED		41	Feminino	Ensino superior completo	Ciências Sociais Aplicadas	False	False	TT04	Section 1 - Bar Charts diagram	go	/os2/7/go/barsgrid/last/right/41	1	1	1	1713283590975	1713283600954	Mozilla/5.0 (iPhone; CPU iPhone OS 16_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.2 Mobile/15E148 Safari/604.1	
os2	1	24	COMPLETED		41	Feminino	Ensino superior completo	Ciências Sociais Aplicadas	False	False	TT04	Section 1 - Bar Charts diagram	go	/os2/7/go/barsgrid/last/right/131	3	3	3	1713283607904	1713283632309	Mozilla/5.0 (iPhone; CPU iPhone OS 16_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.2 Mobile/15E148 Safari/604.1	
os2	1	25	COMPLETED		41	Feminino	Ensino superior completo	Ciências Sociais Aplicadas	False	False	TT04	Section 1 - Bar Charts diagram	go	/os2/7/go/barsgrid/last/repeat/115	3	3	3	1713283633327	1713283650001	Mozilla/5.0 (iPhone; CPU iPhone OS 16_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.2 Mobile/15E148 Safari/604.1	
os2	1	26	COMPLETED		41	Feminino	Ensino superior completo	Ciências Sociais Aplicadas	False	False	TT04	Section 1 - Bar Charts diagram	go	/os2/7/go/barsgrid/last/repeat/38	1	1	1	1713283651349	1713283666909	Mozilla/5.0 (iPhone; CPU iPhone OS 16_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.2 Mobile/15E148 Safari/604.1	
os2	2	1	COMPLETED		20	Masculino	Ensino superior incompleto	Ciências Exatas e da Terra	False	False	TT03	Section 0 - Bar Charts diagram	instruction	/os2/0/instruction/barsgrid/first/common	0	0	0	1713310324640	1713310476537	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36	
os2	2	2	COMPLETED		20	Masculino	Ensino superior incompleto	Ciências Exatas e da Terra	False	False	TT04	Section 0 - Bar Charts diagram	warmup	/os2/1/warmup/barsgrid/first/common/49	1	1	1	1713310477888	1713310489118	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36	
os2	2	3	COMPLETED		20	Masculino	Ensino superior incompleto	Ciências Exatas e da Terra	False	False	TT04	Section 0 - Bar Charts diagram	warmup	/os2/1/warmup/barsgrid/first/common/82	2	2	2	1713310490458	1713310508612	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36	
os2	2	4	COMPLETED		20	Masculino	Ensino superior incompleto	Ciências Exatas e da Terra	False	False	TT04	Section 0 - Bar Charts diagram	warmup	/os2/1/warmup/barsgrid/first/common/104	3	3	3	1713310509786	1713310533809	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36	
os2	2	5	COMPLETED		20	Masculino	Ensino superior incompleto	Ciências Exatas e da Terra	False	False	TT03	Section 0 - Bar Charts diagram	set-ready	/os2/2/set-ready/barsgrid/first/common	0	0	0	1713310534054	1713310538625	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36	
os2	2	6	COMPLETED		20	Masculino	Ensino superior incompleto	Ciências Exatas e da Terra	False	False	TT04	Section 0 - Bar Charts diagram	go	/os2/3/go/barsgrid/first/left/103	3	3	3	1713310539913	1713310549906	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36	
os2	2	7	COMPLETED		20	Masculino	Ensino superior incompleto	Ciências Exatas e da Terra	False	False	TT04	Section 0 - Bar Charts diagram	go	/os2/3/go/barsgrid/first/left/75	2	2	2	1713310551048	1713310558169	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36	
os2	2	8	COMPLETED		20	Masculino	Ensino superior incompleto	Ciências Exatas e da Terra	False	False	TT04	Section 0 - Bar Charts diagram	go	/os2/3/go/barsgrid/first/common/115	3	3	3	1713310559327	1713310564889	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36	
os2	2	9	COMPLETED		20	Masculino	Ensino superior incompleto	Ciências Exatas e da Terra	False	False	TT04	Section 0 - Bar Charts diagram	go	/os2/3/go/barsgrid/first/common/38	1	1	1	1713310566046	1713310569677	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36	
os2	2	10	COMPLETED		20	Masculino	Ensino superior incompleto	Ciências Exatas e da Terra	False	False	TT04	Section 0 - Bar Charts diagram	go	/os2/3/go/barsgrid/first/right/41	1	1	1	1713310570943	1713310574780	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36	
os2	2	11	COMPLETED		20	Masculino	Ensino superior incompleto	Ciências Exatas e da Terra	False	False	TT04	Section 0 - Bar Charts diagram	go	/os2/3/go/barsgrid/first/right/131	3	3	3	1713310575853	1713310591420	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36	
os2	2	12	COMPLETED		20	Masculino	Ensino superior incompleto	Ciências Exatas e da Terra	False	False	TT04	Section 0 - Bar Charts diagram	go	/os2/3/go/barsgrid/first/repeat/115	3	3	3	1713310591766	1713310600185	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36	
os2	2	13	COMPLETED		20	Masculino	Ensino superior incompleto	Ciências Exatas e da Terra	False	False	TT04	Section 0 - Bar Charts diagram	go	/os2/3/go/barsgrid/first/repeat/38	1	1	1	1713310600464	1713310603545	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36	
os2	2	14	COMPLETED		20	Masculino	Ensino superior incompleto	Ciências Exatas e da Terra	False	False	TT03	Section 1 - Polygrid  diagram	instruction	/os2/4/instruction/polygrid/last/common	0	0	0	1713310604500	1713310711514	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36	
os2	2	15	COMPLETED		20	Masculino	Ensino superior incompleto	Ciências Exatas e da Terra	False	False	TT04	Section 1 - Polygrid  diagram	warmup	/os2/5/warmup/polygrid/last/common/49	1	1	1	1713310713074	1713310717323	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36	
os2	2	16	COMPLETED		20	Masculino	Ensino superior incompleto	Ciências Exatas e da Terra	False	False	TT04	Section 1 - Polygrid  diagram	warmup	/os2/5/warmup/polygrid/last/common/82	2	2	2	1713310718729	1713310725143	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36	
os2	2	17	COMPLETED		20	Masculino	Ensino superior incompleto	Ciências Exatas e da Terra	False	False	TT04	Section 1 - Polygrid  diagram	warmup	/os2/5/warmup/polygrid/last/common/104	3	3	3	1713310726495	1713310727675	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36	
os2	2	18	COMPLETED		20	Masculino	Ensino superior incompleto	Ciências Exatas e da Terra	False	False	TT03	Section 1 - Polygrid  diagram	set-ready	/os2/6/set-ready/polygrid/last/common	0	0	0	1713310727958	1713310729679	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36	
os2	2	19	COMPLETED		20	Masculino	Ensino superior incompleto	Ciências Exatas e da Terra	False	False	TT04	Section 1 - Polygrid  diagram	go	/os2/7/go/polygrid/last/left/103	3	3	2	1713310731110	1713310753479	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36	
os2	2	20	COMPLETED		20	Masculino	Ensino superior incompleto	Ciências Exatas e da Terra	False	False	TT04	Section 1 - Polygrid  diagram	go	/os2/7/go/polygrid/last/left/75	2	2	2	1713310754960	1713310762619	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36	
os2	2	21	COMPLETED		20	Masculino	Ensino superior incompleto	Ciências Exatas e da Terra	False	False	TT04	Section 1 - Polygrid  diagram	go	/os2/7/go/polygrid/last/common/115	3	3	3	1713310763859	1713310767662	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36	
os2	2	22	COMPLETED		20	Masculino	Ensino superior incompleto	Ciências Exatas e da Terra	False	False	TT04	Section 1 - Polygrid  diagram	go	/os2/7/go/polygrid/last/common/38	1	1	1	1713310769092	1713310773695	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36	
os2	2	23	COMPLETED		20	Masculino	Ensino superior incompleto	Ciências Exatas e da Terra	False	False	TT04	Section 1 - Polygrid  diagram	go	/os2/7/go/polygrid/last/right/41	1	1	1	1713310775135	1713310779054	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36	
os2	2	24	COMPLETED		20	Masculino	Ensino superior incompleto	Ciências Exatas e da Terra	False	False	TT04	Section 1 - Polygrid  diagram	go	/os2/7/go/polygrid/last/right/131	3	3	3	1713310780565	1713310792098	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36	
os2	2	25	COMPLETED		20	Masculino	Ensino superior incompleto	Ciências Exatas e da Terra	False	False	TT04	Section 1 - Polygrid  diagram	go	/os2/7/go/polygrid/last/repeat/115	3	3	3	1713310792370	1713310797684	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36	
os2	2	26	COMPLETED		20	Masculino	Ensino superior incompleto	Ciências Exatas e da Terra	False	False	TT04	Section 1 - Polygrid  diagram	go	/os2/7/go/polygrid/last/repeat/38	1	1	1	1713310797998	1713310801388	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36	
os2	3	1	COMPLETED	masked@email.br	28	Prefiro não informar	Ensino superior incompleto	Ciências Exatas e da Terra	True	False	TT03	Section 0 - Polygrid  diagram	instruction	/os2/0/instruction/polygrid/first/common	0	0	0	1713290829754	1713290956612	Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:124.0) Gecko/20100101 Firefox/124.0	
os2	3	2	COMPLETED	masked@email.br	28	Prefiro não informar	Ensino superior incompleto	Ciências Exatas e da Terra	True	False	TT04	Section 0 - Polygrid  diagram	warmup	/os2/1/warmup/polygrid/first/common/49	1	1	1	1713290958226	1713290991636	Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:124.0) Gecko/20100101 Firefox/124.0	
os2	3	3	COMPLETED	masked@email.br	28	Prefiro não informar	Ensino superior incompleto	Ciências Exatas e da Terra	True	False	TT04	Section 0 - Polygrid  diagram	warmup	/os2/1/warmup/polygrid/first/common/82	2	2	2	1713290992899	1713291005668	Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:124.0) Gecko/20100101 Firefox/124.0	
os2	3	4	COMPLETED	masked@email.br	28	Prefiro não informar	Ensino superior incompleto	Ciências Exatas e da Terra	True	False	TT04	Section 0 - Polygrid  diagram	warmup	/os2/1/warmup/polygrid/first/common/104	3	3	3	1713291006929	1713291015740	Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:124.0) Gecko/20100101 Firefox/124.0	
os2	3	5	COMPLETED	masked@email.br	28	Prefiro não informar	Ensino superior incompleto	Ciências Exatas e da Terra	True	False	TT03	Section 0 - Polygrid  diagram	set-ready	/os2/2/set-ready/polygrid/first/common	0	0	0	1713291016150	1713291021180	Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:124.0) Gecko/20100101 Firefox/124.0	
os2	3	6	COMPLETED	masked@email.br	28	Prefiro não informar	Ensino superior incompleto	Ciências Exatas e da Terra	True	False	TT04	Section 0 - Polygrid  diagram	go	/os2/3/go/polygrid/first/left/95	2	2	2	1713291022420	1713291030164	Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:124.0) Gecko/20100101 Firefox/124.0	
os2	3	7	COMPLETED	masked@email.br	28	Prefiro não informar	Ensino superior incompleto	Ciências Exatas e da Terra	True	False	TT04	Section 0 - Polygrid  diagram	go	/os2/3/go/polygrid/first/left/84	2	3	3	1713291031422	1713291059164	Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:124.0) Gecko/20100101 Firefox/124.0	
os2	3	8	COMPLETED	masked@email.br	28	Prefiro não informar	Ensino superior incompleto	Ciências Exatas e da Terra	True	False	TT04	Section 0 - Polygrid  diagram	go	/os2/3/go/polygrid/first/common/115	3	3	3	1713291060402	1713291066382	Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:124.0) Gecko/20100101 Firefox/124.0	
os2	3	9	COMPLETED	masked@email.br	28	Prefiro não informar	Ensino superior incompleto	Ciências Exatas e da Terra	True	False	TT04	Section 0 - Polygrid  diagram	go	/os2/3/go/polygrid/first/common/38	1	1	1	1713291067642	1713291074034	Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:124.0) Gecko/20100101 Firefox/124.0	
os2	3	10	COMPLETED	masked@email.br	28	Prefiro não informar	Ensino superior incompleto	Ciências Exatas e da Terra	True	False	TT04	Section 0 - Polygrid  diagram	go	/os2/3/go/polygrid/first/right/51	2	2	2	1713291076215	1713291088965	Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:124.0) Gecko/20100101 Firefox/124.0	
os2	3	11	COMPLETED	masked@email.br	28	Prefiro não informar	Ensino superior incompleto	Ciências Exatas e da Terra	True	False	TT04	Section 0 - Polygrid  diagram	go	/os2/3/go/polygrid/first/right/98	2	2	2	1713291090423	1713291096003	Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:124.0) Gecko/20100101 Firefox/124.0	
os2	3	12	COMPLETED	masked@email.br	28	Prefiro não informar	Ensino superior incompleto	Ciências Exatas e da Terra	True	False	TT04	Section 0 - Polygrid  diagram	go	/os2/3/go/polygrid/first/repeat/115	3	3	3	1713291096478	1713291103046	Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:124.0) Gecko/20100101 Firefox/124.0	
os2	3	13	COMPLETED	masked@email.br	28	Prefiro não informar	Ensino superior incompleto	Ciências Exatas e da Terra	True	False	TT04	Section 0 - Polygrid  diagram	go	/os2/3/go/polygrid/first/repeat/38	1	1	1	1713291103458	1713291113816	Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:124.0) Gecko/20100101 Firefox/124.0	
os2	3	14	COMPLETED	masked@email.br	28	Prefiro não informar	Ensino superior incompleto	Ciências Exatas e da Terra	True	False	TT03	Section 1 - Bar Charts diagram	instruction	/os2/4/instruction/barsgrid/last/common	0	0	0	1713291115633	1713291151643	Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:124.0) Gecko/20100101 Firefox/124.0	
os2	3	15	COMPLETED	masked@email.br	28	Prefiro não informar	Ensino superior incompleto	Ciências Exatas e da Terra	True	False	TT04	Section 1 - Bar Charts diagram	warmup	/os2/5/warmup/barsgrid/last/common/49	1	1	2	1713291152656	1713291166061	Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:124.0) Gecko/20100101 Firefox/124.0	
os2	3	16	COMPLETED	masked@email.br	28	Prefiro não informar	Ensino superior incompleto	Ciências Exatas e da Terra	True	False	TT04	Section 1 - Bar Charts diagram	warmup	/os2/5/warmup/barsgrid/last/common/82	2	2	2	1713291166991	1713291184911	Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:124.0) Gecko/20100101 Firefox/124.0	
os2	3	17	COMPLETED	masked@email.br	28	Prefiro não informar	Ensino superior incompleto	Ciências Exatas e da Terra	True	False	TT04	Section 1 - Bar Charts diagram	warmup	/os2/5/warmup/barsgrid/last/common/104	3	3	2	1713291185859	1713291195662	Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:124.0) Gecko/20100101 Firefox/124.0	
os2	3	18	COMPLETED	masked@email.br	28	Prefiro não informar	Ensino superior incompleto	Ciências Exatas e da Terra	True	False	TT03	Section 1 - Bar Charts diagram	set-ready	/os2/6/set-ready/barsgrid/last/common	0	0	0	1713291196047	1713291197218	Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:124.0) Gecko/20100101 Firefox/124.0	
os2	3	19	COMPLETED	masked@email.br	28	Prefiro não informar	Ensino superior incompleto	Ciências Exatas e da Terra	True	False	TT04	Section 1 - Bar Charts diagram	go	/os2/7/go/barsgrid/last/left/95	2	2	2	1713291198188	1713291215899	Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:124.0) Gecko/20100101 Firefox/124.0	
os2	3	20	COMPLETED	masked@email.br	28	Prefiro não informar	Ensino superior incompleto	Ciências Exatas e da Terra	True	False	TT04	Section 1 - Bar Charts diagram	go	/os2/7/go/barsgrid/last/left/84	2	3	3	1713291216833	1713291348585	Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:124.0) Gecko/20100101 Firefox/124.0	
os2	3	21	COMPLETED	masked@email.br	28	Prefiro não informar	Ensino superior incompleto	Ciências Exatas e da Terra	True	False	TT04	Section 1 - Bar Charts diagram	go	/os2/7/go/barsgrid/last/common/115	3	3	3	1713291349891	1713291370707	Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:124.0) Gecko/20100101 Firefox/124.0	
