Script	Step	Slot	Task Type	Section	Function	Sample Type	Oracle	Predicted	Value
2	7	1	TT04	Section 0 - Bar Charts diagram	go	/os2/3/go/barsgrid/first/left/75	2	2	os2_iris_case_075_barsgrid.png
2	8	1	TT04	Section 0 - Bar Charts diagram	go	/os2/3/go/barsgrid/first/common/115	3	3	os2_iris_case_115_barsgrid.png
2	9	1	TT04	Section 0 - Bar Charts diagram	go	/os2/3/go/barsgrid/first/common/38	1	1	os2_iris_case_038_barsgrid.png
2	10	1	TT04	Section 0 - Bar Charts diagram	go	/os2/3/go/barsgrid/first/right/41	1	1	os2_iris_case_041_barsgrid.png
2	11	1	TT04	Section 0 - Bar Charts diagram	go	/os2/3/go/barsgrid/first/right/131	3	3	os2_iris_case_131_barsgrid.png
2	12	1	TT04	Section 0 - Bar Charts diagram	go	/os2/3/go/barsgrid/first/repeat/115	3	3	os2_iris_case_115_barsgrid.png
2	13	1	TT04	Section 0 - Bar Charts diagram	go	/os2/3/go/barsgrid/first/repeat/38	1	1	os2_iris_case_038_barsgrid.png
2	14	1	TT03	Section 1 - Polygrid  diagram	instruction	/os2/4/instruction/polygrid/last/common	0	0	audiovisual|https://player.vimeo.com/video/918537739?badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479
2	15	1	TT04	Section 1 - Polygrid  diagram	warmup	/os2/5/warmup/polygrid/last/common/49	1	1	os2_iris_case_049_polygrid.png
2	16	1	TT04	Section 1 - Polygrid  diagram	warmup	/os2/5/warmup/polygrid/last/common/82	2	2	os2_iris_case_082_polygrid.png
2	17	1	TT04	Section 1 - Polygrid  diagram	warmup	/os2/5/warmup/polygrid/last/common/104	3	3	os2_iris_case_104_polygrid.png
2	18	1	TT03	Section 1 - Polygrid  diagram	set-ready	/os2/6/set-ready/polygrid/last/common	0	0	textual|Muito bem! Agora que você praticou com alguns espécimes típicos, queremos que você classifique mais 8 espécimes que podem ser mais difíceis de classificar.||Clique no botão continuar quando você estiver pronto para começar.
2	19	1	TT04	Section 1 - Polygrid  diagram	go	/os2/7/go/polygrid/last/left/103	3	3	os2_iris_case_103_polygrid.png
2	20	1	TT04	Section 1 - Polygrid  diagram	go	/os2/7/go/polygrid/last/left/75	2	2	os2_iris_case_075_polygrid.png
2	21	1	TT04	Section 1 - Polygrid  diagram	go	/os2/7/go/polygrid/last/common/115	3	3	os2_iris_case_115_polygrid.png
2	22	1	TT04	Section 1 - Polygrid  diagram	go	/os2/7/go/polygrid/last/common/38	1	1	os2_iris_case_038_polygrid.png
2	23	1	TT04	Section 1 - Polygrid  diagram	go	/os2/7/go/polygrid/last/right/41	1	1	os2_iris_case_041_polygrid.png
2	24	1	TT04	Section 1 - Polygrid  diagram	go	/os2/7/go/polygrid/last/right/131	3	3	os2_iris_case_131_polygrid.png
2	25	1	TT04	Section 1 - Polygrid  diagram	go	/os2/7/go/polygrid/last/repeat/115	3	3	os2_iris_case_115_polygrid.png
2	26	1	TT04	Section 1 - Polygrid  diagram	go	/os2/7/go/polygrid/last/repeat/38	1	1	os2_iris_case_038_polygrid.png
3	1	1	TT03	Section 0 - Polygrid  diagram	instruction	/os2/0/instruction/polygrid/first/common	0	0	audiovisual|https://player.vimeo.com/video/918537658?badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479
3	2	1	TT04	Section 0 - Polygrid  diagram	warmup	/os2/1/warmup/polygrid/first/common/49	1	1	os2_iris_case_049_polygrid.png
3	3	1	TT04	Section 0 - Polygrid  diagram	warmup	/os2/1/warmup/polygrid/first/common/82	2	2	os2_iris_case_082_polygrid.png
3	4	1	TT04	Section 0 - Polygrid  diagram	warmup	/os2/1/warmup/polygrid/first/common/104	3	3	os2_iris_case_104_polygrid.png
3	5	1	TT03	Section 0 - Polygrid  diagram	set-ready	/os2/2/set-ready/polygrid/first/common	0	0	textual|Muito bem! Agora que você praticou com alguns espécimes típicos, queremos que você classifique mais 8 espécimes que podem ser mais difíceis de classificar.||Clique no botão continuar quando você estiver pronto para começar.
3	6	1	TT04	Section 0 - Polygrid  diagram	go	/os2/3/go/polygrid/first/left/95	2	2	os2_iris_case_095_polygrid.png
3	7	1	TT04	Section 0 - Polygrid  diagram	go	/os2/3/go/polygrid/first/left/84	2	3	os2_iris_case_084_polygrid.png
3	8	1	TT04	Section 0 - Polygrid  diagram	go	/os2/3/go/polygrid/first/common/115	3	3	os2_iris_case_115_polygrid.png
3	9	1	TT04	Section 0 - Polygrid  diagram	go	/os2/3/go/polygrid/first/common/38	1	1	os2_iris_case_038_polygrid.png
3	10	1	TT04	Section 0 - Polygrid  diagram	go	/os2/3/go/polygrid/first/right/51	2	2	os2_iris_case_051_polygrid.png
3	11	1	TT04	Section 0 - Polygrid  diagram	go	/os2/3/go/polygrid/first/right/98	2	2	os2_iris_case_098_polygrid.png
3	12	1	TT04	Section 0 - Polygrid  diagram	go	/os2/3/go/polygrid/first/repeat/115	3	3	os2_iris_case_115_polygrid.png
3	13	1	TT04	Section 0 - Polygrid  diagram	go	/os2/3/go/polygrid/first/repeat/38	1	1	os2_iris_case_038_polygrid.png
3	14	1	TT03	Section 1 - Bar Charts diagram	instruction	/os2/4/instruction/barsgrid/last/common	0	0	audiovisual|https://player.vimeo.com/video/918538800?badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479
3	15	1	TT04	Section 1 - Bar Charts diagram	warmup	/os2/5/warmup/barsgrid/last/common/49	1	1	os2_iris_case_049_barsgrid.png
3	16	1	TT04	Section 1 - Bar Charts diagram	warmup	/os2/5/warmup/barsgrid/last/common/82	2	2	os2_iris_case_082_barsgrid.png
3	17	1	TT04	Section 1 - Bar Charts diagram	warmup	/os2/5/warmup/barsgrid/last/common/104	3	3	os2_iris_case_104_barsgrid.png
3	18	1	TT03	Section 1 - Bar Charts diagram	set-ready	/os2/6/set-ready/barsgrid/last/common	0	0	textual|Muito bem! Agora que você praticou com alguns espécimes típicos, queremos que você classifique mais 8 espécimes que podem ser mais difíceis de classificar.||Clique no botão continuar quando você estiver pronto para começar.
3	19	1	TT04	Section 1 - Bar Charts diagram	go	/os2/7/go/barsgrid/last/left/95	2	2	os2_iris_case_095_barsgrid.png
3	20	1	TT04	Section 1 - Bar Charts diagram	go	/os2/7/go/barsgrid/last/left/84	2	3	os2_iris_case_084_barsgrid.png
3	21	1	TT04	Section 1 - Bar Charts diagram	go	/os2/7/go/barsgrid/last/common/115	3	3	os2_iris_case_115_barsgrid.png
3	22	1	TT04	Section 1 - Bar Charts diagram	go	/os2/7/go/barsgrid/last/common/38	1	1	os2_iris_case_038_barsgrid.png
3	23	1	TT04	Section 1 - Bar Charts diagram	go	/os2/7/go/barsgrid/last/right/51	2	2	os2_iris_case_051_barsgrid.png
3	24	1	TT04	Section 1 - Bar Charts diagram	go	/os2/7/go/barsgrid/last/right/98	2	2	os2_iris_case_098_barsgrid.png
3	25	1	TT04	Section 1 - Bar Charts diagram	go	/os2/7/go/barsgrid/last/repeat/115	3	3	os2_iris_case_115_barsgrid.png
3	26	1	TT04	Section 1 - Bar Charts diagram	go	/os2/7/go/barsgrid/last/repeat/38	1	1	os2_iris_case_038_barsgrid.png
4	1	1	TT03	Section 0 - Bar Charts diagram	instruction	/os2/0/instruction/barsgrid/first/common	0	0	audiovisual|https://player.vimeo.com/video/918538828?badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479
4	2	1	TT04	Section 0 - Bar Charts diagram	warmup	/os2/1/warmup/barsgrid/first/common/49	1	1	os2_iris_case_049_barsgrid.png
4	3	1	TT04	Section 0 - Bar Charts diagram	warmup	/os2/1/warmup/barsgrid/first/common/82	2	2	os2_iris_case_082_barsgrid.png
4	4	1	TT04	Section 0 - Bar Charts diagram	warmup	/os2/1/warmup/barsgrid/first/common/104	3	3	os2_iris_case_104_barsgrid.png
4	5	1	TT03	Section 0 - Bar Charts diagram	set-ready	/os2/2/set-ready/barsgrid/first/common	0	0	textual|Muito bem! Agora que você praticou com alguns espécimes típicos, queremos que você classifique mais 8 espécimes que podem ser mais difíceis de classificar.||Clique no botão continuar quando você estiver pronto para começar.
4	6	1	TT04	Section 0 - Bar Charts diagram	go	/os2/3/go/barsgrid/first/left/95	2	2	os2_iris_case_095_barsgrid.png
4	7	1	TT04	Section 0 - Bar Charts diagram	go	/os2/3/go/barsgrid/first/left/84	2	3	os2_iris_case_084_barsgrid.png
4	8	1	TT04	Section 0 - Bar Charts diagram	go	/os2/3/go/barsgrid/first/common/115	3	3	os2_iris_case_115_barsgrid.png
4	9	1	TT04	Section 0 - Bar Charts diagram	go	/os2/3/go/barsgrid/first/common/38	1	1	os2_iris_case_038_barsgrid.png
4	10	1	TT04	Section 0 - Bar Charts diagram	go	/os2/3/go/barsgrid/first/right/51	2	2	os2_iris_case_051_barsgrid.png
4	11	1	TT04	Section 0 - Bar Charts diagram	go	/os2/3/go/barsgrid/first/right/98	2	2	os2_iris_case_098_barsgrid.png
4	12	1	TT04	Section 0 - Bar Charts diagram	go	/os2/3/go/barsgrid/first/repeat/115	3	3	os2_iris_case_115_barsgrid.png
4	13	1	TT04	Section 0 - Bar Charts diagram	go	/os2/3/go/barsgrid/first/repeat/38	1	1	os2_iris_case_038_barsgrid.png
4	14	1	TT03	Section 1 - Polygrid  diagram	instruction	/os2/4/instruction/polygrid/last/common	0	0	audiovisual|https://player.vimeo.com/video/918537739?badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479
4	15	1	TT04	Section 1 - Polygrid  diagram	warmup	/os2/5/warmup/polygrid/last/common/49	1	1	os2_iris_case_049_polygrid.png
4	16	1	TT04	Section 1 - Polygrid  diagram	warmup	/os2/5/warmup/polygrid/last/common/82	2	2	os2_iris_case_082_polygrid.png
4	17	1	TT04	Section 1 - Polygrid  diagram	warmup	/os2/5/warmup/polygrid/last/common/104	3	3	os2_iris_case_104_polygrid.png
4	18	1	TT03	Section 1 - Polygrid  diagram	set-ready	/os2/6/set-ready/polygrid/last/common	0	0	textual|Muito bem! Agora que você praticou com alguns espécimes típicos, queremos que você classifique mais 8 espécimes que podem ser mais difíceis de classificar.||Clique no botão continuar quando você estiver pronto para começar.
4	19	1	TT04	Section 1 - Polygrid  diagram	go	/os2/7/go/polygrid/last/left/95	2	2	os2_iris_case_095_polygrid.png
4	20	1	TT04	Section 1 - Polygrid  diagram	go	/os2/7/go/polygrid/last/left/84	2	3	os2_iris_case_084_polygrid.png
4	21	1	TT04	Section 1 - Polygrid  diagram	go	/os2/7/go/polygrid/last/common/115	3	3	os2_iris_case_115_polygrid.png
4	22	1	TT04	Section 1 - Polygrid  diagram	go	/os2/7/go/polygrid/last/common/38	1	1	os2_iris_case_038_polygrid.png
4	23	1	TT04	Section 1 - Polygrid  diagram	go	/os2/7/go/polygrid/last/right/51	2	2	os2_iris_case_051_polygrid.png
4	24	1	TT04	Section 1 - Polygrid  diagram	go	/os2/7/go/polygrid/last/right/98	2	2	os2_iris_case_098_polygrid.png
4	25	1	TT04	Section 1 - Polygrid  diagram	go	/os2/7/go/polygrid/last/repeat/115	3	3	os2_iris_case_115_polygrid.png
4	26	1	TT04	Section 1 - Polygrid  diagram	go	/os2/7/go/polygrid/last/repeat/38	1	1	os2_iris_case_038_polygrid.png
5	1	1	TT03	Section 0 - Polygrid  diagram	instruction	/os2/0/instruction/polygrid/first/common	0	0	audiovisual|https://player.vimeo.com/video/918537658?badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479
5	2	1	TT04	Section 0 - Polygrid  diagram	warmup	/os2/1/warmup/polygrid/first/common/49	1	1	os2_iris_case_049_polygrid.png
5	3	1	TT04	Section 0 - Polygrid  diagram	warmup	/os2/1/warmup/polygrid/first/common/82	2	2	os2_iris_case_082_polygrid.png
5	4	1	TT04	Section 0 - Polygrid  diagram	warmup	/os2/1/warmup/polygrid/first/common/104	3	3	os2_iris_case_104_polygrid.png
5	5	1	TT03	Section 0 - Polygrid  diagram	set-ready	/os2/2/set-ready/polygrid/first/common	0	0	textual|Muito bem! Agora que você praticou com alguns espécimes típicos, queremos que você classifique mais 8 espécimes que podem ser mais difíceis de classificar.||Clique no botão continuar quando você estiver pronto para começar.
5	6	1	TT04	Section 0 - Polygrid  diagram	go	/os2/3/go/polygrid/first/left/54	2	2	os2_iris_case_054_polygrid.png
5	7	1	TT04	Section 0 - Polygrid  diagram	go	/os2/3/go/polygrid/first/left/23	1	1	os2_iris_case_023_polygrid.png
5	8	1	TT04	Section 0 - Polygrid  diagram	go	/os2/3/go/polygrid/first/common/115	3	3	os2_iris_case_115_polygrid.png
5	9	1	TT04	Section 0 - Polygrid  diagram	go	/os2/3/go/polygrid/first/common/38	1	1	os2_iris_case_038_polygrid.png
5	10	1	TT04	Section 0 - Polygrid  diagram	go	/os2/3/go/polygrid/first/right/13	1	1	os2_iris_case_013_polygrid.png
5	11	1	TT04	Section 0 - Polygrid  diagram	go	/os2/3/go/polygrid/first/right/41	1	1	os2_iris_case_041_polygrid.png
5	12	1	TT04	Section 0 - Polygrid  diagram	go	/os2/3/go/polygrid/first/repeat/115	3	3	os2_iris_case_115_polygrid.png
5	13	1	TT04	Section 0 - Polygrid  diagram	go	/os2/3/go/polygrid/first/repeat/38	1	1	os2_iris_case_038_polygrid.png
5	14	1	TT03	Section 1 - Bar Charts diagram	instruction	/os2/4/instruction/barsgrid/last/common	0	0	audiovisual|https://player.vimeo.com/video/918538800?badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479
5	15	1	TT04	Section 1 - Bar Charts diagram	warmup	/os2/5/warmup/barsgrid/last/common/49	1	1	os2_iris_case_049_barsgrid.png
5	16	1	TT04	Section 1 - Bar Charts diagram	warmup	/os2/5/warmup/barsgrid/last/common/82	2	2	os2_iris_case_082_barsgrid.png
5	17	1	TT04	Section 1 - Bar Charts diagram	warmup	/os2/5/warmup/barsgrid/last/common/104	3	3	os2_iris_case_104_barsgrid.png
5	18	1	TT03	Section 1 - Bar Charts diagram	set-ready	/os2/6/set-ready/barsgrid/last/common	0	0	textual|Muito bem! Agora que você praticou com alguns espécimes típicos, queremos que você classifique mais 8 espécimes que podem ser mais difíceis de classificar.||Clique no botão continuar quando você estiver pronto para começar.
5	19	1	TT04	Section 1 - Bar Charts diagram	go	/os2/7/go/barsgrid/last/left/54	2	2	os2_iris_case_054_barsgrid.png
5	20	1	TT04	Section 1 - Bar Charts diagram	go	/os2/7/go/barsgrid/last/left/23	1	1	os2_iris_case_023_barsgrid.png
5	21	1	TT04	Section 1 - Bar Charts diagram	go	/os2/7/go/barsgrid/last/common/115	3	3	os2_iris_case_115_barsgrid.png
5	22	1	TT04	Section 1 - Bar Charts diagram	go	/os2/7/go/barsgrid/last/common/38	1	1	os2_iris_case_038_barsgrid.png
5	23	1	TT04	Section 1 - Bar Charts diagram	go	/os2/7/go/barsgrid/last/right/13	1	1	os2_iris_case_013_barsgrid.png
5	24	1	TT04	Section 1 - Bar Charts diagram	go	/os2/7/go/barsgrid/last/right/41	1	1	os2_iris_case_041_barsgrid.png
5	25	1	TT04	Section 1 - Bar Charts diagram	go	/os2/7/go/barsgrid/last/repeat/115	3	3	os2_iris_case_115_barsgrid.png
5	26	1	TT04	Section 1 - Bar Charts diagram	go	/os2/7/go/barsgrid/last/repeat/38	1	1	os2_iris_case_038_barsgrid.png
6	1	1	TT03	Section 0 - Bar Charts diagram	instruction	/os2/0/instruction/barsgrid/first/common	0	0	audiovisual|https://player.vimeo.com/video/918538828?badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479
6	2	1	TT04	Section 0 - Bar Charts diagram	warmup	/os2/1/warmup/barsgrid/first/common/49	1	1	os2_iris_case_049_barsgrid.png
6	3	1	TT04	Section 0 - Bar Charts diagram	warmup	/os2/1/warmup/barsgrid/first/common/82	2	2	os2_iris_case_082_barsgrid.png
6	4	1	TT04	Section 0 - Bar Charts diagram	warmup	/os2/1/warmup/barsgrid/first/common/104	3	3	os2_iris_case_104_barsgrid.png
6	5	1	TT03	Section 0 - Bar Charts diagram	set-ready	/os2/2/set-ready/barsgrid/first/common	0	0	textual|Muito bem! Agora que você praticou com alguns espécimes típicos, queremos que você classifique mais 8 espécimes que podem ser mais difíceis de classificar.||Clique no botão continuar quando você estiver pronto para começar.
6	6	1	TT04	Section 0 - Bar Charts diagram	go	/os2/3/go/barsgrid/first/left/54	2	2	os2_iris_case_054_barsgrid.png
6	7	1	TT04	Section 0 - Bar Charts diagram	go	/os2/3/go/barsgrid/first/left/23	1	1	os2_iris_case_023_barsgrid.png
6	8	1	TT04	Section 0 - Bar Charts diagram	go	/os2/3/go/barsgrid/first/common/115	3	3	os2_iris_case_115_barsgrid.png
6	9	1	TT04	Section 0 - Bar Charts diagram	go	/os2/3/go/barsgrid/first/common/38	1	1	os2_iris_case_038_barsgrid.png
6	10	1	TT04	Section 0 - Bar Charts diagram	go	/os2/3/go/barsgrid/first/right/13	1	1	os2_iris_case_013_barsgrid.png
6	11	1	TT04	Section 0 - Bar Charts diagram	go	/os2/3/go/barsgrid/first/right/41	1	1	os2_iris_case_041_barsgrid.png
6	12	1	TT04	Section 0 - Bar Charts diagram	go	/os2/3/go/barsgrid/first/repeat/115	3	3	os2_iris_case_115_barsgrid.png
6	13	1	TT04	Section 0 - Bar Charts diagram	go	/os2/3/go/barsgrid/first/repeat/38	1	1	os2_iris_case_038_barsgrid.png
6	14	1	TT03	Section 1 - Polygrid  diagram	instruction	/os2/4/instruction/polygrid/last/common	0	0	audiovisual|https://player.vimeo.com/video/918537739?badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479
6	15	1	TT04	Section 1 - Polygrid  diagram	warmup	/os2/5/warmup/polygrid/last/common/49	1	1	os2_iris_case_049_polygrid.png
6	16	1	TT04	Section 1 - Polygrid  diagram	warmup	/os2/5/warmup/polygrid/last/common/82	2	2	os2_iris_case_082_polygrid.png
6	17	1	TT04	Section 1 - Polygrid  diagram	warmup	/os2/5/warmup/polygrid/last/common/104	3	3	os2_iris_case_104_polygrid.png
6	18	1	TT03	Section 1 - Polygrid  diagram	set-ready	/os2/6/set-ready/polygrid/last/common	0	0	textual|Muito bem! Agora que você praticou com alguns espécimes típicos, queremos que você classifique mais 8 espécimes que podem ser mais difíceis de classificar.||Clique no botão continuar quando você estiver pronto para começar.
6	19	1	TT04	Section 1 - Polygrid  diagram	go	/os2/7/go/polygrid/last/left/54	2	2	os2_iris_case_054_polygrid.png
6	20	1	TT04	Section 1 - Polygrid  diagram	go	/os2/7/go/polygrid/last/left/23	1	1	os2_iris_case_023_polygrid.png
6	21	1	TT04	Section 1 - Polygrid  diagram	go	/os2/7/go/polygrid/last/common/115	3	3	os2_iris_case_115_polygrid.png
6	22	1	TT04	Section 1 - Polygrid  diagram	go	/os2/7/go/polygrid/last/common/38	1	1	os2_iris_case_038_polygrid.png
6	23	1	TT04	Section 1 - Polygrid  diagram	go	/os2/7/go/polygrid/last/right/13	1	1	os2_iris_case_013_polygrid.png
6	24	1	TT04	Section 1 - Polygrid  diagram	go	/os2/7/go/polygrid/last/right/41	1	1	os2_iris_case_041_polygrid.png
6	25	1	TT04	Section 1 - Polygrid  diagram	go	/os2/7/go/polygrid/last/repeat/115	3	3	os2_iris_case_115_polygrid.png
6	26	1	TT04	Section 1 - Polygrid  diagram	go	/os2/7/go/polygrid/last/repeat/38	1	1	os2_iris_case_038_polygrid.png
7	1	1	TT03	Section 0 - Polygrid  diagram	instruction	/os2/0/instruction/polygrid/first/common	0	0	audiovisual|https://player.vimeo.com/video/918537658?badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479
7	2	1	TT04	Section 0 - Polygrid  diagram	warmup	/os2/1/warmup/polygrid/first/common/49	1	1	os2_iris_case_049_polygrid.png
7	3	1	TT04	Section 0 - Polygrid  diagram	warmup	/os2/1/warmup/polygrid/first/common/82	2	2	os2_iris_case_082_polygrid.png
7	4	1	TT04	Section 0 - Polygrid  diagram	warmup	/os2/1/warmup/polygrid/first/common/104	3	3	os2_iris_case_104_polygrid.png
7	5	1	TT03	Section 0 - Polygrid  diagram	set-ready	/os2/2/set-ready/polygrid/first/common	0	0	textual|Muito bem! Agora que você praticou com alguns espécimes típicos, queremos que você classifique mais 8 espécimes que podem ser mais difíceis de classificar.||Clique no botão continuar quando você estiver pronto para começar.
7	6	1	TT04	Section 0 - Polygrid  diagram	go	/os2/3/go/polygrid/first/left/54	2	2	os2_iris_case_054_polygrid.png
7	7	1	TT04	Section 0 - Polygrid  diagram	go	/os2/3/go/polygrid/first/left/53	2	2	os2_iris_case_053_polygrid.png
7	8	1	TT04	Section 0 - Polygrid  diagram	go	/os2/3/go/polygrid/first/common/115	3	3	os2_iris_case_115_polygrid.png
7	9	1	TT04	Section 0 - Polygrid  diagram	go	/os2/3/go/polygrid/first/common/38	1	1	os2_iris_case_038_polygrid.png
7	10	1	TT04	Section 0 - Polygrid  diagram	go	/os2/3/go/polygrid/first/right/51	2	2	os2_iris_case_051_polygrid.png
7	11	1	TT04	Section 0 - Polygrid  diagram	go	/os2/3/go/polygrid/first/right/98	2	2	os2_iris_case_098_polygrid.png
7	12	1	TT04	Section 0 - Polygrid  diagram	go	/os2/3/go/polygrid/first/repeat/115	3	3	os2_iris_case_115_polygrid.png
7	13	1	TT04	Section 0 - Polygrid  diagram	go	/os2/3/go/polygrid/first/repeat/38	1	1	os2_iris_case_038_polygrid.png
7	14	1	TT03	Section 1 - Bar Charts diagram	instruction	/os2/4/instruction/barsgrid/last/common	0	0	audiovisual|https://player.vimeo.com/video/918538800?badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479
7	15	1	TT04	Section 1 - Bar Charts diagram	warmup	/os2/5/warmup/barsgrid/last/common/49	1	1	os2_iris_case_049_barsgrid.png
7	16	1	TT04	Section 1 - Bar Charts diagram	warmup	/os2/5/warmup/barsgrid/last/common/82	2	2	os2_iris_case_082_barsgrid.png
7	17	1	TT04	Section 1 - Bar Charts diagram	warmup	/os2/5/warmup/barsgrid/last/common/104	3	3	os2_iris_case_104_barsgrid.png
7	18	1	TT03	Section 1 - Bar Charts diagram	set-ready	/os2/6/set-ready/barsgrid/last/common	0	0	textual|Muito bem! Agora que você praticou com alguns espécimes típicos, queremos que você classifique mais 8 espécimes que podem ser mais difíceis de classificar.||Clique no botão continuar quando você estiver pronto para começar.
7	19	1	TT04	Section 1 - Bar Charts diagram	go	/os2/7/go/barsgrid/last/left/54	2	2	os2_iris_case_054_barsgrid.png
